Image1,Image2,Image3,Image4,AudioFile,TargetLocation,Label,Group,AdjTime,NounTime,NPTime,AudioDur
sheep.png,chalkboard.png,puddle.png,cane.png,chalkboard.mp3,2,practice,A,,990,990,1888
pizzacutter.png,chapstick.png,snowcone.png,hippo.png,snowcone.mp3,3,practice,A,,867,867,1779
tweezers.png,canteloupe.png,frisbee.png,pokerchips.png,pokerchips.mp3,4,practice,A,,978,978,1952
asparagus.png,gasoline.png,crown.png,honey.png,asparagus.mp3,1,practice,A,,1012,1012,2218
milkshake.png,tent.png,belt.png,stethoscope.png,tent.mp3,2,practice,A,,1112,1112,1665
longscissors.png,shortscissors.png,orca.png,longnotepad.png,longscissors.mp3,1,critical competitor,B,961,1583,961,2267
longpeapod.png,shortpeapod.png,anchor.png,cap.png,shortpeapod.mp3,2,critical,B,864,1476,864,2237
wateringcan.png,fatpig.png,fatbowlingpin.png,skinnybowlingpin.png,fatbowlingpin.mp3,3,critical competitor,B,957,1639,957,2303
teddybear.png,crayon.png,shortmug.png,tallmug.png,tallmug.mp3,4,critical,B,907,1457,907,1978
widechair.png,narrowchair.png,flashlight.png,widebottle.png,widechair.mp3,1,critical competitor,B,844,1469,844,1928
shortshell.png,longshell.png,longdart.png,lime.png,longshell.mp3,2,critical competitor,B,1045,1561,1045,2110
volleyball.png,camera.png,longwrench.png,shortwrench.png,longwrench.mp3,3,critical,B,868,1340,868,2112
ear.png,iron.png,shortbat.png,longbat.png,longbat.mp3,4,critical,B,1013,1716,1013,2163
longtoothbrush.png,shorttoothbrush.png,pan.png,eagle.png,longtoothbrush.mp3,1,critical,B,922,1565,922,2396
longmarker.png,shortmarker.png,shortfork.png,seal.png,shortmarker.mp3,2,critical competitor,B,885,1421,885,1965
globe.png,shortcandle.png,shortrocket.png,longrocket.png,shortrocket.mp3,3,critical competitor,B,705,1228,705,1920
tennisball.png,briefcase.png,longhockeystick.png,shorthockeystick.png,shorthockeystick.mp3,4,critical,B,892,1357,892,2267
fatpencil.png,skinnypencil.png,curtains.png,fatcat.png,fatpencil.mp3,1,critical competitor,B,1000,1719,1000,2266
skinnywatch.png,fatwatch.png,firehydrant.png,yoyo.png,fatwatch.mp3,2,critical,B,977,1590,977,2199
cupcake.png,skinnyman.png,skinnycandycane.png,fatcandycane.png,skinnycandycane.mp3,3,critical competitor,B,993,1581,993,2381
skinnyjeans.png,jellyfish.png,fatknife.png,skinnyknife.png,skinnyknife.mp3,4,critical competitor,B,1023,1586,1023,2215
skinnytie.png,fattie.png,sink.png,bee.png,skinnytie.mp3,1,critical,B,826,1532,826,1996
narrowcolumn.png,widecolumn.png,guitar.png,olives.png,widecolumn.mp3,2,critical,B,871,1403,871,1962
balloon.png,octopus.png,thinbandaid.png,thickbandaid.png,thinbandaid.mp3,3,critical,B,983,1619,983,2265
thinchair.png,jacket.png,thickbottle.png,thinbottle.png,thinbottle.mp3,4,critical competitor,B,977,1666,977,1985
thinruler.png,thickruler.png,pear.png,hourglass.png,thinruler.mp3,1,critical,B,917,1327,917,1917
tallbeer.png,shortbeer.png,barn.png,yarn.png,shortbeer.mp3,2,critical,B,858,1621,858,2040
